camp_a,camp_b,layer,shared
TC_0004,TC_0013,callback_hub,+18773960066
TC_0052,TC_0053,callback_hub,+18334872573
TC_0125,TC_0126,callback_hub,+18556820740
TC_0006,TC_0045,shared_carrier,NUSO
TC_0006,TC_0075,shared_carrier,NUSO
TC_0008,TC_0021,shared_carrier,HD Carrier LLC
TC_0008,TC_0063,shared_carrier,HD Carrier LLC
TC_0008,TC_0064,shared_carrier,HD Carrier LLC
TC_0021,TC_0063,shared_carrier,HD Carrier LLC
TC_0021,TC_0064,shared_carrier,HD Carrier LLC
TC_0045,TC_0075,shared_carrier,NUSO
TC_0063,TC_0064,shared_carrier,HD Carrier LLC
TC_0137,TC_0173,shared_carrier,Peerless Network
TC_0008,TC_0092,sig_edge,
TC_0008,TC_0121,sig_edge,
TC_0008,TC_0138,sig_edge,
TC_0026,TC_0181,sig_edge,
TC_0040,TC_0094,sig_edge,
TC_0041,TC_0176,sig_edge,
TC_0054,TC_0094,sig_edge,
TC_0078,TC_0111,sig_edge,
TC_0113,TC_0141,sig_edge,
TC_0159,TC_0174,sig_edge,
TC_0176,TC_0200,sig_edge,
